"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",2019-08-16,"Ath Bilbao","Barcelona",1,0,"H"
"2",2019-08-17,"Celta","Real Madrid",1,3,"A"
"3",2019-08-17,"Valencia","Sociedad",1,1,"D"
"4",2019-08-17,"Mallorca","Eibar",2,1,"H"
"5",2019-08-17,"Leganes","Osasuna",0,1,"A"
"6",2019-08-17,"Villarreal","Granada",4,4,"D"
"7",2019-08-18,"Alaves","Levante",1,0,"H"
"8",2019-08-18,"Espanol","Sevilla",0,2,"A"
"9",2019-08-18,"Betis","Valladolid",1,2,"A"
"10",2019-08-18,"Ath Madrid","Getafe",1,0,"H"
"11",2019-08-23,"Granada","Sevilla",0,1,"A"
"12",2019-08-23,"Levante","Villarreal",2,1,"H"
"13",2019-08-24,"Osasuna","Eibar",0,0,"D"
"14",2019-08-24,"Real Madrid","Valladolid",1,1,"D"
"15",2019-08-24,"Celta","Valencia",1,0,"H"
"16",2019-08-24,"Getafe","Ath Bilbao",1,1,"D"
"17",2019-08-25,"Alaves","Espanol",0,0,"D"
"18",2019-08-25,"Mallorca","Sociedad",0,1,"A"
"19",2019-08-25,"Leganes","Ath Madrid",0,1,"A"
"20",2019-08-25,"Barcelona","Betis",5,2,"H"
"21",2019-08-30,"Sevilla","Celta",1,1,"D"
"22",2019-08-30,"Ath Bilbao","Sociedad",2,0,"H"
"23",2019-08-31,"Osasuna","Barcelona",2,2,"D"
"24",2019-08-31,"Getafe","Alaves",1,1,"D"
"25",2019-08-31,"Levante","Valladolid",2,0,"H"
"26",2019-08-31,"Betis","Leganes",2,1,"H"
"27",2019-09-01,"Valencia","Mallorca",2,0,"H"
"28",2019-09-01,"Ath Madrid","Eibar",3,2,"H"
"29",2019-09-01,"Espanol","Granada",0,3,"A"
"30",2019-09-01,"Villarreal","Real Madrid",2,2,"D"
"31",2019-09-13,"Mallorca","Ath Bilbao",0,0,"D"
"32",2019-09-14,"Real Madrid","Levante",3,2,"H"
"33",2019-09-14,"Leganes","Villarreal",0,3,"A"
"34",2019-09-14,"Sociedad","Ath Madrid",2,0,"H"
"35",2019-09-14,"Barcelona","Valencia",5,2,"H"
"36",2019-09-15,"Eibar","Espanol",1,2,"A"
"37",2019-09-15,"Alaves","Sevilla",0,1,"A"
"38",2019-09-15,"Celta","Granada",0,2,"A"
"39",2019-09-15,"Valladolid","Osasuna",1,1,"D"
"40",2019-09-15,"Betis","Getafe",1,1,"D"
"41",2019-09-20,"Osasuna","Betis",0,0,"D"
"42",2019-09-21,"Villarreal","Valladolid",2,0,"H"
"43",2019-09-21,"Levante","Eibar",0,0,"D"
"44",2019-09-21,"Ath Madrid","Celta",0,0,"D"
"45",2019-09-21,"Granada","Barcelona",2,0,"H"
"46",2019-09-22,"Getafe","Mallorca",4,2,"H"
"47",2019-09-22,"Espanol","Sociedad",1,3,"A"
"48",2019-09-22,"Valencia","Leganes",1,1,"D"
"49",2019-09-22,"Ath Bilbao","Alaves",2,0,"H"
"50",2019-09-22,"Sevilla","Real Madrid",0,1,"A"
"51",2019-09-24,"Valladolid","Granada",1,1,"D"
"52",2019-09-24,"Betis","Levante",3,1,"H"
"53",2019-09-24,"Barcelona","Villarreal",2,1,"H"
"54",2019-09-25,"Leganes","Ath Bilbao",1,1,"D"
"55",2019-09-25,"Mallorca","Ath Madrid",0,2,"A"
"56",2019-09-25,"Valencia","Getafe",3,3,"D"
"57",2019-09-25,"Real Madrid","Osasuna",2,0,"H"
"58",2019-09-26,"Eibar","Sevilla",3,2,"H"
"59",2019-09-26,"Celta","Espanol",1,1,"D"
"60",2019-09-26,"Sociedad","Alaves",3,0,"H"
"61",2019-09-27,"Villarreal","Betis",5,1,"H"
"62",2019-09-28,"Ath Bilbao","Valencia",0,1,"A"
"63",2019-09-28,"Getafe","Barcelona",0,2,"A"
"64",2019-09-28,"Granada","Leganes",1,0,"H"
"65",2019-09-28,"Ath Madrid","Real Madrid",0,0,"D"
